"Supplementary_Data_1. List of plant species selected for the study, including details of the plant part used, extraction method, and corresponding references. The database(s) referred to for data collection are also included.",,,,,
Taxa,Plant part_Methodology,Year,Author_Year,Database,References
Glycyrrhiza glabra L.,Root/Essential Oil,2013,Enas M. Ali/2013,AROMADB-CIMAP,"Ali, E. M. (2013). Phytochemical composition, antifungal, antiaflatoxigenic, antioxidant, and anticancer activities of Glycyrrhiza glabra L. and Matricaria chamomilla L. essential oils. J Med Plants Res, 7(29), 2197-2207."
Matricaria chamomilla L. ,Flower/Essential Oil,2013,Enas M. Ali/2013,AROMADB-CIMAP,"Ali, E. M. (2013). Phytochemical composition, antifungal, antiaflatoxigenic, antioxidant, and anticancer activities of Glycyrrhiza glabra L. and Matricaria chamomilla L. essential oils. J Med Plants Res, 7(29), 2197-2207."
Centaurea depressa M.B,Aerial_EO,2005,Esmaeili_2005,AROMADB-CIMAP,"Esmaeili, A., Rustaiyan, A., Nadimi, M., Masoudi, S., Tadayon, F., Sedaghat, S., ... & Hajyzadeh, E. (2005). Volatile constituents of Centaurea depressa MB and Carduus pycnocephalus L. two compositae herbs growing wild in Iran. Journal of essential oil research, 17(5), 539-541."
Syzygium cordutziiiz Hochst. ex Krauss. ,Leaves/Essential Oil,2011,"Esmort H. Chisowa , G. Sakala , David R. Hall & DudleyI. Farman/2011",AROMADB-CIMAP,"Chisowa, E. H., Sakala, G., Hall, D. R., & Farman, D. I. (1998). Composition of the essential oil of Syzygium cordatum Hochst. ex Krauss. Journal of Essential Oil Research, 10(5), 591-592."
Cymbopogan citratus,Leaves/Essenetial Oil,2004,"F.Tchoumbougnang, P.H. Amvam Zollo,E. Dagne, Y. Mekonnen/2004",AROMADB-CIMAP,"Tchoumbougnang, F., Zollo, P. A., Dagne, E., & Mekonnen, Y. (2005). In vivo antimalarial activity of essential oils from Cymbopogon citratus and Ocimum gratissimum on mice infected with Plasmodium berghei. Planta medica, 71(01), 20-23."
Ocimum gratissimum,Leaves/Essenetial Oil,2004,"F.Tchoumbougnang, P.H. Amvam Zollo,E. Dagne, Y. Mekonnen/2004",AROMADB-CIMAP,"Tchoumbougnang, F., Zollo, P. A., Dagne, E., & Mekonnen, Y. (2005). In vivo antimalarial activity of essential oils from Cymbopogon citratus and Ocimum gratissimum on mice infected with Plasmodium berghei. Planta medica, 71(01), 20-23."
Artemisia annua,Aerial parts/Essential Oil,2002,"Fabien Juteau , Veronique Masotti, Jean Marie Bessiere , Michel Dherbomez , Josette Viano/2002",AROMADB-CIMAP,"Juteau, F., Masotti, V., Bessiere, J. M., Dherbomez, M., & Viano, J. (2002). Antibacterial and antioxidant activities of Artemisia annua essential oil. Fitoterapia, 73(6), 532-535."
Glycyrrhiza glabra_Egypt,Root_EO,2012,Farag_2012,AROMADB-CIMAP,"Farag, M. A., & Wessjohann, L. A. (2012). Volatiles profiling in medicinal Licorice roots using steam distillation and solid?phase microextraction (SPME) coupled to chemometrics. Journal of Food Science, 77(11), C1179-C1184."
Glycyrrhiza glabra_Afghanistan,Root_EO,2012,Farag_2012,AROMADB-CIMAP,"Farag, M. A., & Wessjohann, L. A. (2012). Volatiles profiling in medicinal Licorice roots using steam distillation and solid?phase microextraction (SPME) coupled to chemometrics. Journal of Food Science, 77(11), C1179-C1184."
Glycyrrhiza glabra_Syria,Root_EO,2012,Farag_2012,AROMADB-CIMAP,"Farag, M. A., & Wessjohann, L. A. (2012). Volatiles profiling in medicinal Licorice roots using steam distillation and solid?phase microextraction (SPME) coupled to chemometrics. Journal of Food Science, 77(11), C1179-C1184."
Glycyrrhiza inflata_China,Root_EO,2012,Farag_2012,AROMADB-CIMAP,"Farag, M. A., & Wessjohann, L. A. (2012). Volatiles profiling in medicinal Licorice roots using steam distillation and solid?phase microextraction (SPME) coupled to chemometrics. Journal of Food Science, 77(11), C1179-C1184."
Glycyrrhiza echinata_Bonn,Root_EO,2012,Farag_2012,AROMADB-CIMAP,"Farag, M. A., & Wessjohann, L. A. (2012). Volatiles profiling in medicinal Licorice roots using steam distillation and solid?phase microextraction (SPME) coupled to chemometrics. Journal of Food Science, 77(11), C1179-C1184."
Glycyrrhiza echinata_Kiel,Root_EO,2012,Farag_2012,AROMADB-CIMAP,"Farag, M. A., & Wessjohann, L. A. (2012). Volatiles profiling in medicinal Licorice roots using steam distillation and solid?phase microextraction (SPME) coupled to chemometrics. Journal of Food Science, 77(11), C1179-C1184."
Chamaemelum nobile,Flowers_EO,2003,Farkas_2003,AROMADB-CIMAP,"Farkas, P., Hollá, M., Vaverková, S., Stahlová, B., Tekel, J., & Havránek, E. (2003). Composition of the essential oil from the flowerheads of Chamaemelum nobile (L.) All.(Asteraceae) cultivated in Slovak Republic. Journal of Essential Oil Research, 15(2), 83-85."
