"Supplementary_Data_1. List of plant species selected for the study, including details of the plant part used, extraction method, and corresponding references. The database(s) referred to for data collection are also included.",,,,,
Taxa,Plant part_Methodology,Year,Author_Year,Database,References
Ribes nigrum L,Leaves/ESSENTIAL Oil,2010,"TATJANA STEVI?, KATARINA ŠAVIKIN, MIHAILO RISTI?, GORDANA ZDUNI?, TEODORA JANKOVI?, DRAGANA KRIVOKU?A-?OKI? and TODOR VULI?/2010",AROMADB-CIMAP,"Stevi?, T., Šavikin, K., Risti?, M., Zduni?, G., Jankovi?, T., Krivoku?a-?oki?, D., & Vuli?, T. (2010). Composition and antimicrobial activity of the essential oil of the leaves of black currant (Ribes nigrum L.) cultivar ?a?anska crna. Journal of the Serbian Chemical Society, 75(1), 35-43."
Chukrasia tabularis,Leaf_EO,2003,Thangadurai_2003,AROMADB-CIMAP,"Thangadurai, D., Nagalakshmi, M. A. H., Pulliah, T., & Ratnam, B. V. V. (2003). Essential oils of the leaves of Chukrasia tabularis collected from the eastern Ghats of Peninsular India. Journal of Essential Oil Research, 15(1), 25-27."
Elsholtzia blanda,Leaf_EO,1999,Thappa_1999,AROMADB-CIMAP,"Thappa, R. K., Agarwal, S. G., Kapahl, B. K., & Srivastava, T. N. (1999). Chemosystematics of the Himalayan Elsholtzia. Journal of Essential Oil Research, 11(1), 97-103."
Elsholtzia ciliate_La Chung,Leaf_EO,1999,Thappa_1999,AROMADB-CIMAP,"Thappa, R. K., Agarwal, S. G., Kapahl, B. K., & Srivastava, T. N. (1999). Chemosystematics of the Himalayan Elsholtzia. Journal of Essential Oil Research, 11(1), 97-103."
Elsholtzia ciliate_Chung Than,Leaf_EO,1999,Thappa_1999,AROMADB-CIMAP,"Thappa, R. K., Agarwal, S. G., Kapahl, B. K., & Srivastava, T. N. (1999). Chemosystematics of the Himalayan Elsholtzia. Journal of Essential Oil Research, 11(1), 97-103."
Elsholtzia densa,Leaf_EO,1999,Thappa_1999,AROMADB-CIMAP,"Thappa, R. K., Agarwal, S. G., Kapahl, B. K., & Srivastava, T. N. (1999). Chemosystematics of the Himalayan Elsholtzia. Journal of Essential Oil Research, 11(1), 97-103."
Elsholtzia fructicosa,Leaf_EO,1999,Thappa_1999,AROMADB-CIMAP,"Thappa, R. K., Agarwal, S. G., Kapahl, B. K., & Srivastava, T. N. (1999). Chemosystematics of the Himalayan Elsholtzia. Journal of Essential Oil Research, 11(1), 97-103."
Elsholtzia incisa,Leaf_EO,1999,Thappa_1999,AROMADB-CIMAP,"Thappa, R. K., Agarwal, S. G., Kapahl, B. K., & Srivastava, T. N. (1999). Chemosystematics of the Himalayan Elsholtzia. Journal of Essential Oil Research, 11(1), 97-103."
Dictamnus albus,Leaf_EO,2002,Tirillini_2002,AROMADB-CIMAP,"Tirillini, B., Pellegrino, R., Menghini, L., Pagiotti, R., & Menghini, A. (2002). Composition of the essential oil of Dictamnus albus L. from Italy. Journal of Essential Oil Research, 14(3), 203-205."
Dictamnus albus,Flowers_EO,2002,Tirillini_2002,AROMADB-CIMAP,"Tirillini, B., Pellegrino, R., Menghini, L., Pagiotti, R., & Menghini, A. (2002). Composition of the essential oil of Dictamnus albus L. from Italy. Journal of Essential Oil Research, 14(3), 203-205."
Plumeria obtusa,Flowers_EO,2006,Tohar_2006,AROMADB-CIMAP,"Tohar, N., Awang, K., Mohd, M. A., & Jantan, I. (2006). Chemical composition of the essential oils of four Plumeria species grown on Peninsular Malaysia. Journal of Essential Oil Research, 18(6), 613-617."
Plumeria acuminata,Flowers_EO,2006,Tohar_2006,AROMADB-CIMAP,"Tohar, N., Awang, K., Mohd, M. A., & Jantan, I. (2006). Chemical composition of the essential oils of four Plumeria species grown on Peninsular Malaysia. Journal of Essential Oil Research, 18(6), 613-617."
Plumeria rubra_pink,Flowers_EO,2006,Tohar_2006,AROMADB-CIMAP,"Tohar, N., Awang, K., Mohd, M. A., & Jantan, I. (2006). Chemical composition of the essential oils of four Plumeria species grown on Peninsular Malaysia. Journal of Essential Oil Research, 18(6), 613-617."
Plumeria rubra_orange,Flowers_EO,2006,Tohar_2006,AROMADB-CIMAP,"Tohar, N., Awang, K., Mohd, M. A., & Jantan, I. (2006). Chemical composition of the essential oils of four Plumeria species grown on Peninsular Malaysia. Journal of Essential Oil Research, 18(6), 613-617."
Crinum latifolim,Leaves_EO,2003,Tram_2003,AROMADB-CIMAP,"Ngoc Tram, N. T., Kamenarska, Z. G., Handjieva, N. V., Bankova, V. S., & Popov, S. S. (2003). Volatiles from Crinum latifolium. Journal of Essential Oil Research, 15(3), 195-197."
Acorus calamus L.,Leaf/ Essential Oil,2003,"V. K. Raina, S. K. Srivastava1 and K. V. Syamasunder/2003",AROMADB-CIMAP,"Raina, V. K., Srivastava, S. K., & Syamasunder, K. V. (2003). Essential oil composition of Acorus calamus L. from the lower region of the Himalayas. Flavour and fragrance Journal, 18(1), 18-20."
Acorus calamus L.,Rhizobium/Essential OIL,2003,"V. K. Raina,1 S. K. Srivastava1 and K. V. Syamasunder/2003",AROMADB-CIMAP,"Raina, V. K., Srivastava, S. K., & Syamasunder, K. V. (2003). Essential oil composition of Acorus calamus L. from the lower region of the Himalayas. Flavour and fragrance Journal, 18(1), 18-20."
Oenanthe crocata,AerialPart_EO,2013,Valente_2013,AROMADB-CIMAP,"Valente, J., Zuzarte, M., Gonçalves, M. J., Lopes, M. C., Cavaleiro, C., Salgueiro, L., & Cruz, M. T. (2013). Antifungal, antioxidant and anti-inflammatory activities of Oenanthe crocata L. essential oil. Food and chemical toxicology, 62, 349-354."
Lavandula angustifolia,Flower_EO,1997,Venskutonis_1997,AROMADB-CIMAP,"Venskutonis, P. R., Dapkevicius, A., & Baranauskiene, M. (1997). Composition of the essential oil of Lavender (Lavandula angustifolia Mill.) from Lithuania. Journal of essential oil research, 9(1), 107-110."
Lavandula angustifolia,Stem_EO,1997,Venskutonis_1997,AROMADB-CIMAP,"Venskutonis, P. R., Dapkevicius, A., & Baranauskiene, M. (1997). Composition of the essential oil of Lavender (Lavandula angustifolia Mill.) from Lithuania. Journal of essential oil research, 9(1), 107-110."
Pogostemon cablin,Leaf_EO,2012,Verma_2012,AROMADB-CIMAP,"Verma, R. S., Padalia, R. C., & Chauhan, A. (2012). Assessment of similarities and dissimilarities in the essential oils of patchouli and Indian Valerian. Journal of Essential Oil Research, 24(5), 487-491."
Valeriana jatamansi,Root_EO,2012,Verma_2012,AROMADB-CIMAP,"Verma, R. S., Padalia, R. C., & Chauhan, A. (2012). Assessment of similarities and dissimilarities in the essential oils of patchouli and Indian Valerian. Journal of Essential Oil Research, 24(5), 487-491."
Mentha longifolia,AerialParts_EO,2015,Verma_2015,AROMADB-CIMAP,"Verma, R. S., Pandey, V., Chauhan, A., & Tiwari, R. (2015). Essential oil composition of Mentha longifolia (L.) L. collected from Garhwal region of Western-Himalaya. Journal of Essential Oil Bearing Plants, 18(4), 957-966."
Myrtus communis var. italica,Leaf_EO,2010,Wannes,AROMADB-CIMAP,"Wannes, W. A., Mhamdi, B., Sriti, J., Jemia, M. B., Ouchikh, O., Hamdaoui, G., ... & Marzouk, B. (2010). Antioxidant activities of the essential oils and methanol extracts from myrtle (Myrtus communis var. italica L.) leaf, stem and flower. Food and chemical toxicology, 48(5), 1362-1370."
Myrtus communis var. italica,Stem_EO,2010,Wannes,AROMADB-CIMAP,"Wannes, W. A., Mhamdi, B., Sriti, J., Jemia, M. B., Ouchikh, O., Hamdaoui, G., ... & Marzouk, B. (2010). Antioxidant activities of the essential oils and methanol extracts from myrtle (Myrtus communis var. italica L.) leaf, stem and flower. Food and chemical toxicology, 48(5), 1362-1370."
Myrtus communis var. italica,Flower_EO,2010,Wannes,AROMADB-CIMAP,"Wannes, W. A., Mhamdi, B., Sriti, J., Jemia, M. B., Ouchikh, O., Hamdaoui, G., ... & Marzouk, B. (2010). Antioxidant activities of the essential oils and methanol extracts from myrtle (Myrtus communis var. italica L.) leaf, stem and flower. Food and chemical toxicology, 48(5), 1362-1370."
Arnica montana,Root_EO,2011,Weremczuk-Jezyna_2011,AROMADB-CIMAP,"Weremczuk-Je?yna, I., Wysoki?ska, H., & Kalemba, D. (2011). Constituents of the essential oil from hairy roots and plant roots of Arnica montana L. Journal of Essential Oil Research, 23(1), 91-97."
MENTHA SPICATA L.,Aerial Part/Essential Oil,2012,"WISSAL DHIFI, NAHIDA JELALI, WISSEM MNIF, MARIEM LITAIEM and NACEUR HAMDI/2012",AROMADB-CIMAP,"Dhifi, W., Jelali, N., Mnif, W., Litaiem, M., & Hamdi, N. (2013). Chemical composition of the essential oil of Mentha spicata L. from Tunisia and its biological activities. Journal of Food Biochemistry, 37(3), 362-368."
Saussurea lappa,Roots/Essentisl Oil,2012,Zhi Long Liu & Qing He & Sha Sha Chu & Cheng Fang Wang & Shu Shan Du & Zhi Wei Deng/2012,AROMADB-CIMAP,"Liu, Z. L., He, Q., Chu, S. S., Wang, C. F., Du, S. S., & Deng, Z. W. (2012). Essential oil composition and larvicidal activity of Saussurea lappa roots against the mosquito Aedes albopictus (Diptera: Culicidae). Parasitology research, 110(6), 2125-2130."
Achillea millefolium Linnaeus,Flower_DH,2003,Andersson_2003,PHEROBASE,"Andersson, S. (2003). Foraging responses in the butterflies Inachis io, Aglais urticae (Nymphalidae), and Gonepteryx rhamni (Pieridae) to floral scents. Chemoecology, 13(1), 1-11."
Phalaenopsis schilleriana Reichenbach,Flower_Headspace,1997,Awano_1997,PHEROBASE,"Awano, K., Honda, T., Ogawa, T., Suzuki, S., & Matsunaga, Y. (1997). Volatile components of Phalaenopsis schilleriana Rehb. f. Flavour and fragrance journal, 12(5), 341-344."
Phalaenopsis equestris Reichenbach,Flower_Headspace,1997,Awano_1997,PHEROBASE,"Awano, K., Honda, T., Ogawa, T., Suzuki, S., & Matsunaga, Y. (1997). Volatile components of Phalaenopsis schilleriana Rehb. f. Flavour and fragrance journal, 12(5), 341-344."
Phalaenopsis veitchiana Reichenbach,Flower_Headspace,1997,Awano_1997,PHEROBASE,"Awano, K., Honda, T., Ogawa, T., Suzuki, S., & Matsunaga, Y. (1997). Volatile components of Phalaenopsis schilleriana Rehb. f. Flavour and fragrance journal, 12(5), 341-344."
Magnolia virginiana Linnaeus 1,Flower_Headspace,1997,Azuma_1997,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Yamaoka, R., GARCIA?FRANCO, J. G., Dieringer, G., ... & Kawano, S. (1997). Chemical divergence in floral scents of Magnolia and allied genera (Magnoliaceae). Plant Species Biology, 12(2?3), 69-83."
Magnolia virginiana Linnaeus 2,Flower_Headspace,1997,Azuma_1997,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Yamaoka, R., GARCIA?FRANCO, J. G., Dieringer, G., ... & Kawano, S. (1997). Chemical divergence in floral scents of Magnolia and allied genera (Magnoliaceae). Plant Species Biology, 12(2?3), 69-83."
Magnolia grandiflora Linnaeus,Flower_Headspace,1997,Azuma_1997,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Yamaoka, R., GARCIA?FRANCO, J. G., Dieringer, G., ... & Kawano, S. (1997). Chemical divergence in floral scents of Magnolia and allied genera (Magnoliaceae). Plant Species Biology, 12(2?3), 69-83."
Magnolia tamaulipana Vazquez,Flower_Headspace,1997,Azuma_1997,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Yamaoka, R., GARCIA?FRANCO, J. G., Dieringer, G., ... & Kawano, S. (1997). Chemical divergence in floral scents of Magnolia and allied genera (Magnoliaceae). Plant Species Biology, 12(2?3), 69-83."
Magnolia pyramidata Barton,Flower_Headspace,1997,Azuma_1997,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Yamaoka, R., GARCIA?FRANCO, J. G., Dieringer, G., ... & Kawano, S. (1997). Chemical divergence in floral scents of Magnolia and allied genera (Magnoliaceae). Plant Species Biology, 12(2?3), 69-83."
Magnolia tripetala Linnaeus,Flower_Headspace,1997,Azuma_1997,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Yamaoka, R., GARCIA?FRANCO, J. G., Dieringer, G., ... & Kawano, S. (1997). Chemical divergence in floral scents of Magnolia and allied genera (Magnoliaceae). Plant Species Biology, 12(2?3), 69-83."
Magnolia hypoleuca Siebold & Zuccarini,Flower_Headspace,1997,Azuma_1997,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Yamaoka, R., GARCIA?FRANCO, J. G., Dieringer, G., ... & Kawano, S. (1997). Chemical divergence in floral scents of Magnolia and allied genera (Magnoliaceae). Plant Species Biology, 12(2?3), 69-83."
Magnolia sieboldii ssp. japonica Ueda,Flower_Headspace,1997,Azuma_1997,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Yamaoka, R., GARCIA?FRANCO, J. G., Dieringer, G., ... & Kawano, S. (1997). Chemical divergence in floral scents of Magnolia and allied genera (Magnoliaceae). Plant Species Biology, 12(2?3), 69-83."
Magnolia tomentosa Thunberg,Flower_Headspace,1997,Azuma_1997,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Yamaoka, R., GARCIA?FRANCO, J. G., Dieringer, G., ... & Kawano, S. (1997). Chemical divergence in floral scents of Magnolia and allied genera (Magnoliaceae). Plant Species Biology, 12(2?3), 69-83."
Magnolia praecocissima ssp. borealis Koidz,Flower_Headspace,1997,Azuma_1997,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Yamaoka, R., GARCIA?FRANCO, J. G., Dieringer, G., ... & Kawano, S. (1997). Chemical divergence in floral scents of Magnolia and allied genera (Magnoliaceae). Plant Species Biology, 12(2?3), 69-83."
Magnolia salicifolia Maximowicz,Flower_Headspace,1997,Azuma_1997,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Yamaoka, R., GARCIA?FRANCO, J. G., Dieringer, G., ... & Kawano, S. (1997). Chemical divergence in floral scents of Magnolia and allied genera (Magnoliaceae). Plant Species Biology, 12(2?3), 69-83."
Magnolia heptapeta Buc'hoz,Flower_Headspace,1997,Azuma_1997,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Yamaoka, R., GARCIA?FRANCO, J. G., Dieringer, G., ... & Kawano, S. (1997). Chemical divergence in floral scents of Magnolia and allied genera (Magnoliaceae). Plant Species Biology, 12(2?3), 69-83."
Magnolia acuminata Linnaeus,Flower_Headspace,1997,Azuma_1997,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Yamaoka, R., GARCIA?FRANCO, J. G., Dieringer, G., ... & Kawano, S. (1997). Chemical divergence in floral scents of Magnolia and allied genera (Magnoliaceae). Plant Species Biology, 12(2?3), 69-83."
Michelia compressa Maximowicz,Flower_Headspace,1997,Azuma_1997,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Yamaoka, R., GARCIA?FRANCO, J. G., Dieringer, G., ... & Kawano, S. (1997). Chemical divergence in floral scents of Magnolia and allied genera (Magnoliaceae). Plant Species Biology, 12(2?3), 69-83."
Michelia figo Loureiro,Flower_Headspace,1997,Azuma_1997,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Yamaoka, R., GARCIA?FRANCO, J. G., Dieringer, G., ... & Kawano, S. (1997). Chemical divergence in floral scents of Magnolia and allied genera (Magnoliaceae). Plant Species Biology, 12(2?3), 69-83."
Liriodendron tulipifera Linnaeus,Flower_Headspace,1997,Azuma_1997,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Yamaoka, R., GARCIA?FRANCO, J. G., Dieringer, G., ... & Kawano, S. (1997). Chemical divergence in floral scents of Magnolia and allied genera (Magnoliaceae). Plant Species Biology, 12(2?3), 69-83."
Liriodendron chinense Linnaeus,Flower_Headspace,1997,Azuma_1997,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Yamaoka, R., GARCIA?FRANCO, J. G., Dieringer, G., ... & Kawano, S. (1997). Chemical divergence in floral scents of Magnolia and allied genera (Magnoliaceae). Plant Species Biology, 12(2?3), 69-83."
Bruguiera gymnorrhiza Linnaeus,Flower_Headspace,2002,Azuma_2002,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Takaso, T., & Tobe, H. (2002). Floral scent chemistry of mangrove plants. Journal of Plant Research, 115(1), 0047-0053."
Kandelia candel Druce (Site 1),Flower_Headspace,2002,Azuma_2002,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Takaso, T., & Tobe, H. (2002). Floral scent chemistry of mangrove plants. Journal of Plant Research, 115(1), 0047-0053."
Kandelia candel Druce (Site 2),Flower_Headspace,2002,Azuma_2002,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Takaso, T., & Tobe, H. (2002). Floral scent chemistry of mangrove plants. Journal of Plant Research, 115(1), 0047-0053."
Kandelia candel Druce (Site 3),Flower_Headspace,2002,Azuma_2002,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Takaso, T., & Tobe, H. (2002). Floral scent chemistry of mangrove plants. Journal of Plant Research, 115(1), 0047-0053."
Rhizophora stylosa Griffith (Site 1),Flower_Headspace,2002,Azuma_2002,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Takaso, T., & Tobe, H. (2002). Floral scent chemistry of mangrove plants. Journal of Plant Research, 115(1), 0047-0053."
Rhizophora stylosa Griffith (Site 2),Flower_Headspace,2002,Azuma_2002,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Takaso, T., & Tobe, H. (2002). Floral scent chemistry of mangrove plants. Journal of Plant Research, 115(1), 0047-0053."
Sonneratia alba Smith (Site 1),Flower_Headspace,2002,Azuma_2002,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Takaso, T., & Tobe, H. (2002). Floral scent chemistry of mangrove plants. Journal of Plant Research, 115(1), 0047-0053."
Sonneratia alba Smith (Site 2),Flower_Headspace,2002,Azuma_2002,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Takaso, T., & Tobe, H. (2002). Floral scent chemistry of mangrove plants. Journal of Plant Research, 115(1), 0047-0053."
Nypa fruticans Wurmb (Site 1),Flower_Headspace,2002,Azuma_2002,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Takaso, T., & Tobe, H. (2002). Floral scent chemistry of mangrove plants. Journal of Plant Research, 115(1), 0047-0053."
Nypa fruticans Wurmb (Site 2),Flower_Headspace,2002,Azuma_2002,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Takaso, T., & Tobe, H. (2002). Floral scent chemistry of mangrove plants. Journal of Plant Research, 115(1), 0047-0053."
Lumnitzera racemosa Willdenow,Flower_Headspace,2002,Azuma_2002,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Takaso, T., & Tobe, H. (2002). Floral scent chemistry of mangrove plants. Journal of Plant Research, 115(1), 0047-0053."
Avicennia marina,Flower_Headspace,2002,Azuma_2002,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Takaso, T., & Tobe, H. (2002). Floral scent chemistry of mangrove plants. Journal of Plant Research, 115(1), 0047-0053."
Pemphis acidula Foster,Flower_Headspace,2002,Azuma_2002,PHEROBASE,"Azuma, H., Toyota, M., Asakawa, Y., Takaso, T., & Tobe, H. (2002). Floral scent chemistry of mangrove plants. Journal of Plant Research, 115(1), 0047-0053."
Apple,FLower_Headspace,1999,Baraldi_1999,PHEROBASE,"Baraldi, R., Rapparini, F., Rossi, F., Latella, A., & Ciccioli, P. (1999). Volatile organic compound emissions from flowers of the most occuring and economically important species of fruit trees. Physics and chemistry of the earth, Part B: Hydrology, oceans and atmosphere, 24(6), 729-732."
Pear,FLower_Headspace,1999,Baraldi_1999,PHEROBASE,"Baraldi, R., Rapparini, F., Rossi, F., Latella, A., & Ciccioli, P. (1999). Volatile organic compound emissions from flowers of the most occuring and economically important species of fruit trees. Physics and chemistry of the earth, Part B: Hydrology, oceans and atmosphere, 24(6), 729-732."
Apricot,FLower_Headspace,1999,Baraldi_1999,PHEROBASE,"Baraldi, R., Rapparini, F., Rossi, F., Latella, A., & Ciccioli, P. (1999). Volatile organic compound emissions from flowers of the most occuring and economically important species of fruit trees. Physics and chemistry of the earth, Part B: Hydrology, oceans and atmosphere, 24(6), 729-732."
Cherry,FLower_Headspace,1999,Baraldi_1999,PHEROBASE,"Baraldi, R., Rapparini, F., Rossi, F., Latella, A., & Ciccioli, P. (1999). Volatile organic compound emissions from flowers of the most occuring and economically important species of fruit trees. Physics and chemistry of the earth, Part B: Hydrology, oceans and atmosphere, 24(6), 729-732."
Plum,FLower_Headspace,1999,Baraldi_1999,PHEROBASE,"Baraldi, R., Rapparini, F., Rossi, F., Latella, A., & Ciccioli, P. (1999). Volatile organic compound emissions from flowers of the most occuring and economically important species of fruit trees. Physics and chemistry of the earth, Part B: Hydrology, oceans and atmosphere, 24(6), 729-732."
Peach,FLower_Headspace,1999,Baraldi_1999,PHEROBASE,"Baraldi, R., Rapparini, F., Rossi, F., Latella, A., & Ciccioli, P. (1999). Volatile organic compound emissions from flowers of the most occuring and economically important species of fruit trees. Physics and chemistry of the earth, Part B: Hydrology, oceans and atmosphere, 24(6), 729-732."
Bartsia alpina (Subalpine 345) 1,,1989,Bergstom_1989,PHEROBASE,"Bergström, J., & Bergström, G. (1989). Floral scents of Bartsia alpina (Scrophulariaceae): chemical composition and variation between individual plants. Nordic journal of botany, 9(4), 363-365."
Bartsia alpina (Subalpine 345) 2,,1989,Bergstom_1989,PHEROBASE,"Bergström, J., & Bergström, G. (1989). Floral scents of Bartsia alpina (Scrophulariaceae): chemical composition and variation between individual plants. Nordic journal of botany, 9(4), 363-365."
Bartsia alpina (Subalpine 420) 3,,1989,Bergstom_1989,PHEROBASE,"Bergström, J., & Bergström, G. (1989). Floral scents of Bartsia alpina (Scrophulariaceae): chemical composition and variation between individual plants. Nordic journal of botany, 9(4), 363-365."
Bartsia alpina (Subalpine 420) 4,,1989,Bergstom_1989,PHEROBASE,"Bergström, J., & Bergström, G. (1989). Floral scents of Bartsia alpina (Scrophulariaceae): chemical composition and variation between individual plants. Nordic journal of botany, 9(4), 363-365."
Bartsia alpina (Subalpine 420) 5,,1989,Bergstom_1989,PHEROBASE,"Bergström, J., & Bergström, G. (1989). Floral scents of Bartsia alpina (Scrophulariaceae): chemical composition and variation between individual plants. Nordic journal of botany, 9(4), 363-365."
Bartsia alpina (Subalpine 420) 6,,1989,Bergstom_1989,PHEROBASE,"Bergström, J., & Bergström, G. (1989). Floral scents of Bartsia alpina (Scrophulariaceae): chemical composition and variation between individual plants. Nordic journal of botany, 9(4), 363-365."
Bartsia alpina (Alpine 880) 1,,1989,Bergstom_1989,PHEROBASE,"Bergström, J., & Bergström, G. (1989). Floral scents of Bartsia alpina (Scrophulariaceae): chemical composition and variation between individual plants. Nordic journal of botany, 9(4), 363-365."
Bartsia alpina (Alpine 1000) 2,,1989,Bergstom_1989,PHEROBASE,"Bergström, J., & Bergström, G. (1989). Floral scents of Bartsia alpina (Scrophulariaceae): chemical composition and variation between individual plants. Nordic journal of botany, 9(4), 363-365."
Bartsia alpina (Alpine 1000) 3,,1989,Bergstom_1989,PHEROBASE,"Bergström, J., & Bergström, G. (1989). Floral scents of Bartsia alpina (Scrophulariaceae): chemical composition and variation between individual plants. Nordic journal of botany, 9(4), 363-365."
Bartsia alpina (Alpine 1000) 4,,1989,Bergstom_1989,PHEROBASE,"Bergström, J., & Bergström, G. (1989). Floral scents of Bartsia alpina (Scrophulariaceae): chemical composition and variation between individual plants. Nordic journal of botany, 9(4), 363-365."
Eupomatia benettii (male),Flower_Headspace,1991,Bergstrom_1991,PHEROBASE,"Bergström, G., Groth, I., Pellmyr, O., Endress, P. K., Thien, L. B., Hübener, A., & Francke, W. (1991). Chemical basis of a highly specific mutualism: chiral esters attract pollinating beetles in Eupomatiaceae. Phytochemistry, 30(10), 3221-3225."
Eupomatia benettii (female),Flower_Headspace,1991,Bergstrom_1991,PHEROBASE,"Bergström, G., Groth, I., Pellmyr, O., Endress, P. K., Thien, L. B., Hübener, A., & Francke, W. (1991). Chemical basis of a highly specific mutualism: chiral esters attract pollinating beetles in Eupomatiaceae. Phytochemistry, 30(10), 3221-3225."
Eupomatia laurina,Flower_Headspace,1991,Bergstrom_1991,PHEROBASE,"Bergström, G., Groth, I., Pellmyr, O., Endress, P. K., Thien, L. B., Hübener, A., & Francke, W. (1991). Chemical basis of a highly specific mutualism: chiral esters attract pollinating beetles in Eupomatiaceae. Phytochemistry, 30(10), 3221-3225."
Cypripedium calceolus ssp. calceolus,Flower_Headspace,1992,Bergstrom_1992,PHEROBASE,"Bergstrom, G., Birgersson, G., Groth, I., & Nilsson, L. A. (1992). Floral fragrance disparity between three taxa of lady's slipper Cypripedium calceolus (Orchidaceae). Phytochemistry, 31(7), 2315-2319."
Cypripedium calceolus var. parviflorum,Flower_Headspace,1992,Bergstrom_1992,PHEROBASE,"Bergstrom, G., Birgersson, G., Groth, I., & Nilsson, L. A. (1992). Floral fragrance disparity between three taxa of lady's slipper Cypripedium calceolus (Orchidaceae). Phytochemistry, 31(7), 2315-2319."
Cypripedium calceolus var pubescens,Flower_Headspace,1992,Bergstrom_1992,PHEROBASE,"Bergstrom, G., Birgersson, G., Groth, I., & Nilsson, L. A. (1992). Floral fragrance disparity between three taxa of lady's slipper Cypripedium calceolus (Orchidaceae). Phytochemistry, 31(7), 2315-2319."
Ranunculus acris,Flower_Headspace sorption,1995,Bergstrom_1995,PHEROBASE,"Bergström, G., Dobson, H. E., & Groth, I. (1995). Spatial fragrance patterns within the flowers of Ranunculus acris (Ranunculaceae). Plant Systematics and Evolution, 195(3), 221-242."
Ranunculus acris,Petal_Headspace sorption,1995,Bergstrom_1995,PHEROBASE,"Bergström, G., Dobson, H. E., & Groth, I. (1995). Spatial fragrance patterns within the flowers of Ranunculus acris (Ranunculaceae). Plant Systematics and Evolution, 195(3), 221-242."
Ranunculus acris,Stamen_Headspace sorption,1995,Bergstrom_1995,PHEROBASE,"Bergström, G., Dobson, H. E., & Groth, I. (1995). Spatial fragrance patterns within the flowers of Ranunculus acris (Ranunculaceae). Plant Systematics and Evolution, 195(3), 221-242."
Ranunculus acris,Sepal+Gynoecium_Headspace sorption,1995,Bergstrom_1995,PHEROBASE,"Bergström, G., Dobson, H. E., & Groth, I. (1995). Spatial fragrance patterns within the flowers of Ranunculus acris (Ranunculaceae). Plant Systematics and Evolution, 195(3), 221-242."
Ranunculus acris,Flower-(minus)Petal_Headspace sorption,1995,Bergstrom_1995,PHEROBASE,"Bergström, G., Dobson, H. E., & Groth, I. (1995). Spatial fragrance patterns within the flowers of Ranunculus acris (Ranunculaceae). Plant Systematics and Evolution, 195(3), 221-242."
Ranunculus acris,Flower-(minus)Stamen_Headspace sorption,1995,Bergstrom_1995,PHEROBASE,"Bergström, G., Dobson, H. E., & Groth, I. (1995). Spatial fragrance patterns within the flowers of Ranunculus acris (Ranunculaceae). Plant Systematics and Evolution, 195(3), 221-242."
Ranunculus acris,Green foliage_Headspace sorption,1995,Bergstrom_1995,PHEROBASE,"Bergström, G., Dobson, H. E., & Groth, I. (1995). Spatial fragrance patterns within the flowers of Ranunculus acris (Ranunculaceae). Plant Systematics and Evolution, 195(3), 221-242."
Pelargonium endlicherianum,Flower_Essential oil,1999,Bozan_1999,PHEROBASE,"Bozan, B., Ozek, T., Kurkcuoglu, M., Kirimer, N. E., & Baser, K. H. C. (1999). The analysis of essential oil and headspace volatiles of the flowers of Pelargonium endlicherianum used as an anthelmintic in folk medicine. Planta medica, 65(08), 781-782."
