Name,Biosynthetic_class,Structural_class,EXT_k2,EXT_k3,EXT_k4,EXT_k5,EXT_k6,EXT_k7,EXT_k8,EXT_k9,EXT_k10,MACCS_k2,MACCS_k3,MACCS_k4,MACCS_k5,MACCS_k6,MACCS_k7,MACCS_k8,MACCS_k9,MACCS_k10,PubChem_k2,PubChem_k3,PubChem_k4,PubChem_k5,PubChem_k6,PubChem_k7,PubChem_k8,PubChem_k9,PubChem_k10,Sub_k2,Sub_k3,Sub_k4,Sub_k5,Sub_k6,Sub_k7,Sub_k8,Sub_k9,Sub_k10,SubCount_k2,SubCount_k3,SubCount_k4,SubCount_k5,SubCount_k6,SubCount_k7,SubCount_k8,SubCount_k9,SubCount_k10
"2,4,5,7-tetrathiaoctane",Others,NonAromatic_N/S,0,0,1,0,5,2,2,0,3,0,2,2,0,2,2,2,0,4,0,2,2,2,2,0,0,3,1,0,1,0,0,5,5,5,5,2,1,0,1,0,5,5,5,5,5
"2,4,6-trichlorophenol",Shikimate_derived_Aromatics,BP,0,2,2,2,2,0,1,1,0,0,2,2,0,5,5,5,5,5,1,1,0,0,3,3,3,1,0,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
"2,4-diathiapentane",Others,NonAromatic_N/S,0,0,1,0,5,2,2,0,3,0,2,2,0,2,2,2,0,4,0,2,2,2,2,0,0,3,1,0,1,0,0,5,5,5,5,2,1,0,1,0,5,5,5,5,5
"2,4-dimethyl-1-heptanol",FADs,Aliphatics and C5 branched,0,0,1,0,1,1,0,8,8,0,1,0,2,0,1,1,1,0,0,2,2,2,2,0,0,8,8,1,0,1,1,1,0,7,7,7,1,0,1,0,0,6,2,2,2
"2,4-dimethyl-2,4-heptadiene",FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,3,0,2,2,0,2,2,2,0,4,0,0,3,3,1,1,1,0,3,1,0,3,3,3,1,0,4,4,1,0,1,0,0,6,2,2,2
"2,4-dimethylphenol",Shikimate_derived_Aromatics,BP,0,2,2,2,2,0,1,1,0,0,2,2,0,5,5,5,5,5,1,1,0,0,3,3,3,1,0,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
"2,4-dimethylthiophene",Others,Aromatic_N/S,0,2,2,2,2,0,1,1,0,1,0,1,1,1,0,0,2,2,0,2,2,2,2,0,0,3,1,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
"2,4-di-tert-butylanisole",Shikimate_derived_Aromatics,BP,0,2,2,2,2,0,1,1,0,0,2,2,0,5,5,5,5,5,1,1,0,0,5,5,5,5,5,0,1,0,0,5,5,5,5,2,1,0,1,0,0,1,1,0,9
"2,4-di-tert-butylphenol",Shikimate_derived_Aromatics,BP,0,2,2,2,2,0,1,1,0,0,2,2,0,5,5,5,5,5,1,1,0,0,3,3,3,1,0,0,1,0,0,5,5,5,5,2,1,0,1,0,0,1,1,0,9
"2,5,6-trimethyl hepta-1,3,6-triene",Terpenoids,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,3,0,2,2,0,2,2,2,0,4,0,0,3,3,1,1,1,0,3,1,0,3,3,3,1,0,4,4,1,0,1,0,0,6,2,2,2
