Name,Biosynthetic_class,Structural_class,EXT_k2,EXT_k3,EXT_k4,EXT_k5,EXT_k6,EXT_k7,EXT_k8,EXT_k9,EXT_k10,MACCS_k2,MACCS_k3,MACCS_k4,MACCS_k5,MACCS_k6,MACCS_k7,MACCS_k8,MACCS_k9,MACCS_k10,PubChem_k2,PubChem_k3,PubChem_k4,PubChem_k5,PubChem_k6,PubChem_k7,PubChem_k8,PubChem_k9,PubChem_k10,Sub_k2,Sub_k3,Sub_k4,Sub_k5,Sub_k6,Sub_k7,Sub_k8,Sub_k9,Sub_k10,SubCount_k2,SubCount_k3,SubCount_k4,SubCount_k5,SubCount_k6,SubCount_k7,SubCount_k8,SubCount_k9,SubCount_k10
Ethyl-3-methyl-benzene,Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,7,9,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,0,5,8,1,1,3,0,1,6,7,2,6,1,0,3,3,2,0,5,5,4
Ethyl-4-methyl-benzene,Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,7,9,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,0,5,8,1,1,3,0,1,6,7,2,6,1,0,3,3,2,0,5,5,4
Ethylbenzene,Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,7,9,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,0,5,8,1,1,3,0,1,6,7,2,6,1,0,3,3,2,0,5,5,4
Ethylcyclobutane,Others,Others,1,2,2,3,3,5,0,5,4,0,0,1,0,3,5,7,4,3,0,1,2,1,2,6,1,7,3,0,0,2,2,1,1,5,4,3,1,0,0,1,5,5,1,7,7
ethylcyclohexane,Others,Others,1,2,2,3,3,5,0,5,4,0,0,1,0,3,5,7,4,3,0,1,2,1,2,6,1,7,3,0,0,2,2,1,1,5,4,3,1,0,0,1,1,5,3,6,1
Ethyl-E-geranate,Terpenoids,MT,0,0,3,0,5,2,5,2,2,0,0,1,1,2,0,4,5,5,0,1,0,4,1,0,6,3,5,1,2,1,1,3,0,0,3,5,1,0,0,1,1,6,3,6,1
ethylpyrazine,Others,Aromatic_N/S,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,6,7,0,1,0,4,4,6,7,4,9,1,1,3,0,4,5,4,6,4,1,0,3,3,2,0,5,5,4
Ethyl-Z-geranate,Terpenoids,MT,0,0,3,0,5,2,5,2,2,0,0,1,1,2,0,4,5,5,0,1,0,4,1,0,6,3,5,1,2,1,1,3,0,0,3,5,0,2,2,0,4,2,6,3,0
eucarvone,Terpenoids,MT,0,0,1,1,4,2,5,2,2,1,1,3,2,5,1,1,7,0,0,1,0,4,1,0,6,6,1,0,2,1,1,3,0,0,3,5,1,0,0,1,5,1,2,1,3
Eugenol,Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,6,8,0,2,2,3,4,2,3,8,9,1,2,1,3,5,2,3,2,2,1,1,3,0,4,5,4,0,6,1,0,3,3,2,0,5,5,4
eugenyl acetate,Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,6,8,0,2,2,3,4,2,3,8,9,1,2,1,3,5,2,3,2,2,1,1,3,3,2,2,2,5,2,1,0,3,3,2,0,5,0,9
E-Undec-2-enal,FADs,Aliphatics and C5 branched,0,0,1,1,4,3,2,4,7,0,0,1,0,3,5,7,4,3,0,1,0,4,1,0,6,6,1,1,2,1,1,3,0,0,3,5,1,0,0,1,1,6,4,8,5
E-verbenol,Terpenoids,MT,0,0,1,0,4,6,6,0,3,1,1,3,2,5,1,1,3,0,0,0,3,0,3,1,2,8,6,0,0,0,4,0,3,1,1,1,1,2,2,0,1,1,2,1,3
exo-2-hydroxycineole,Terpenoids,MT,1,2,3,4,1,1,3,3,1,1,1,3,2,5,1,5,3,6,0,0,2,1,3,1,2,8,6,0,0,0,4,0,3,1,1,1,1,2,2,0,1,1,2,1,3
Exo-2-hydroxycineole acetate,Terpenoids,MT,1,2,3,4,0,1,1,1,6,1,1,3,2,5,1,1,7,0,0,0,2,1,3,3,5,1,4,1,1,3,3,2,2,2,5,2,0,2,2,0,1,1,2,1,3
Farnesane,Terpenoids,ST,1,2,2,3,3,5,0,5,4,0,0,1,0,3,5,7,4,3,0,1,2,1,2,6,1,7,3,0,0,2,2,1,1,5,4,3,0,2,2,2,0,6,4,8,5
farnesyl acetone,Terpenoids,ST,0,0,1,1,4,2,5,2,2,1,0,1,4,1,5,7,4,4,0,1,0,4,1,0,6,6,1,0,0,3,2,5,6,7,2,8,0,2,2,0,4,6,4,8,5
Fenchol,Terpenoids,MT,1,2,2,3,1,0,3,3,1,1,1,3,2,5,1,5,3,6,0,0,3,0,3,1,2,8,6,0,0,0,4,0,3,1,1,1,1,2,2,0,1,1,2,1,3
Fenchone,Terpenoids,MT,1,2,2,3,3,5,0,5,4,1,1,3,2,5,1,1,7,0,0,0,2,1,0,5,5,7,4,0,0,2,2,5,3,3,8,8,1,0,0,1,1,1,2,1,3
Fenchyl acetate,Terpenoids,MT,1,2,3,4,0,1,1,1,6,1,1,3,2,5,1,1,7,0,0,0,2,1,3,1,5,1,4,1,1,3,3,2,2,2,5,2,0,2,2,0,4,2,2,1,0
fokienol,Terpenoids,ST,0,0,1,0,4,6,6,0,3,1,1,3,2,5,1,5,3,6,0,0,0,4,1,0,6,6,1,0,0,0,4,0,4,1,1,1,0,2,2,0,1,6,4,8,5
formamide,Others,NonAromatic_N/S,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,0,7,0,1,2,1,2,3,1,7,3,1,1,3,0,4,5,4,0,6,1,0,3,1,5,5,1,7,7
Fragranol,Terpenoids,MT,0,0,2,0,1,6,3,3,1,1,1,3,2,1,6,2,2,2,0,0,3,0,3,1,2,8,6,0,0,0,4,0,4,1,7,7,1,2,0,1,1,1,2,1,3
Funebren-15-al,Terpenoids,ST,0,0,1,1,4,3,2,4,7,1,1,0,4,1,3,6,1,8,0,0,3,0,0,5,4,0,0,0,0,2,3,2,2,2,5,2,0,2,2,0,4,2,6,3,6
Furanodiene,Terpenoids,ST,0,1,0,2,2,4,7,7,9,1,1,0,4,1,3,6,1,4,1,2,1,3,5,2,3,2,7,1,1,3,0,4,5,4,6,4,1,2,2,0,1,1,2,1,3
furfural,Others,Others,1,1,0,2,2,4,7,7,5,0,2,2,3,0,4,0,6,7,1,2,1,3,5,2,3,2,7,1,2,1,0,4,5,6,6,9,1,0,3,3,2,0,5,5,4
Furfuryl alcohol,Others,Others,1,1,0,2,2,4,7,7,5,0,2,2,3,0,4,0,6,7,1,2,1,3,5,2,3,2,7,1,1,3,0,4,5,4,6,4,1,0,3,3,2,0,5,5,4
furyl propyl ketone,Others,Others,1,1,0,2,2,4,7,7,9,0,2,2,3,0,4,0,6,7,1,2,1,3,5,2,3,2,7,1,2,1,0,4,5,6,6,4,1,0,3,3,2,0,5,5,4
g- Cadinene,Terpenoids,ST,0,0,1,1,4,3,2,4,7,1,1,0,4,1,3,6,1,8,0,0,3,0,0,5,4,0,0,0,0,2,2,1,1,5,4,3,0,2,2,0,4,2,6,3,0
g-butyrolactone,Others,Others,1,2,3,4,0,1,1,1,6,0,2,2,1,2,0,4,6,5,0,1,2,1,2,3,5,1,4,1,1,3,0,2,2,2,5,2,1,0,0,1,5,5,1,7,7
